# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1509157602     44466849.2452197596      0.0960000000      23.4628042291      0.1511371622      0.0000000000
0.1566437656     36982064.1888709664      0.0980000000      22.5322976009      0.1569438705      0.0000000000
0.1624887122     30949835.5954835825      0.1000000000      21.7264857407      0.1628738811      0.0000000000
0.1684440599     26045087.6854620837      0.1020000000      21.0234367582      0.1689208067      0.0000000000
0.1745038165     22027250.0205954313      0.1040000000      20.4059519148      0.1750788017      0.0000000000
0.1806624727     18714610.7686198317      0.1060000000      19.8603693165      0.1813424971      0.0000000000
0.1869149483     15967685.5840044767      0.1080000000      19.3757098046      0.1877069472      0.0000000000
0.1932565490     13678015.7552696839      0.1100000000      18.9430568717      0.1941675871      0.0000000000
0.1996829261     11760394.5389714222      0.1120000000      18.5551022297      0.2007201916      0.0000000000
0.2061900520     10147265.9821739290      0.1140000000      18.2058019751      0.2073608529      0.0000000000
0.2126685047      8804666.0683104843      0.1160000000      17.8949067318      0.2139779554      0.0000000000
0.2191254376      7677954.0678495457      0.1180000000      17.6162696344      0.2205787256      0.0000000000
0.2255926304      6721961.9267114187      0.1200000000      17.3640536373      0.2271956247      0.0000000000
0.2320789544      5905594.1480131960      0.1220000000      17.1344716980      0.2338377580      0.0000000000
0.2385887735      5204848.4715787545      0.1240000000      16.9245656041      0.2405096412      0.0000000000
0.2451246377      4600655.4686038150      0.1260000000      16.7319218294      0.2472139452      0.0000000000
0.2516881960      4077624.9015330989      0.1280000000      16.5545282516      0.2539524259      0.0000000000
0.2582805945      3623205.4449542793      0.1300000000      16.3906853443      0.2607263293      0.0000000000
0.2649026837      3227071.5469986792      0.1320000000      16.2389421526      0.2675366027      0.0000000000
0.2715551304      2880670.1411012523      0.1340000000      16.0980499522      0.2743840081      0.0000000000
0.2782384807      2576877.1275314437      0.1360000000      15.9669277564      0.2812691871      0.0000000000
0.2849532051      2309723.7480816790      0.1380000000      15.8446335004      0.2881927065      0.0000000000
0.2916997216      2074187.1902461487      0.1400000000      15.7303424019      0.2951550816      0.0000000000
0.2984784153      1866020.7842451020      0.1420000000      15.6233284580      0.3021567964      0.0000000000
0.3052896474      1681621.1770709541      0.1440000000      15.5229510042      0.3091983130      0.0000000000
0.3121337618      1517918.3145664746      0.1460000000      15.4286414138      0.3162800777      0.0000000000
0.3190110941      1372287.4001843680      0.1480000000      15.3398939134      0.3234025312      0.0000000000
0.3259219682      1242477.0560492580      0.1500000000      15.2562564310      0.3305661038      0.0000000000
0.3328667029      1126550.5839602887      0.1520000000      15.1773246235      0.3377712235      0.0000000000
0.3398456098      1022836.0196400331      0.1540000000      15.1027346327      0.3450183127      0.0000000000
0.3468590048       929887.1764928302      0.1560000000      15.0321592371      0.3523078010      0.0000000000
0.3539071697       846449.0733403674      0.1580000000      14.9653026732      0.3596400847      0.0000000000
0.3609904054       771429.9978936506      0.1600000000      14.9018971346      0.3670155821      0.0000000000
0.3681089973       703877.9406684017      0.1620000000      14.8416996888      0.3744346981      0.0000000000
0.3752632199       642960.9648436700      0.1640000000      14.7844891868      0.3818978279      0.0000000000
0.3824533388       587950.4031169427      0.1660000000      14.7300643107      0.3894053605      0.0000000000
0.3896796085       538206.5473751769      0.1680000000      14.6782410780      0.3969576748      0.0000000000
0.3969422694       493166.7486266742      0.1700000000      14.6288510943      0.4045551377      0.0000000000
0.4042415490       452335.1978992724      0.1720000000      14.5817400510      0.4121981045      0.0000000000
0.4115776589       415274.0799730532      0.1740000000      14.5367662358      0.4198869160      0.0000000000
0.4189507944       381596.0914701823      0.1760000000      14.4937992235      0.4276218982      0.0000000000
0.4263611325       350958.0937841116      0.1780000000      14.4527188774      0.4354033598      0.0000000000
0.4338088252       323055.3988442215      0.1800000000      14.4134141733      0.4432315853      0.0000000000
0.4412940238       297617.1993214704      0.1820000000      14.3757826142      0.4511068603      0.0000000000
0.4488168391       274402.3307694320      0.1840000000      14.3397293208      0.4590294299      0.0000000000
0.4563773646       253195.7101748187      0.1860000000      14.3051661286      0.4669995227      0.0000000000
0.4639756724       233805.2152747231      0.1880000000      14.2720114049      0.4750173463      0.0000000000
0.4716118091       216059.0312791645      0.1900000000      14.2401891489      0.4830830831      0.0000000000
0.4792857959       199803.2367335951      0.1920000000      14.2096284411      0.4911968905      0.0000000000
0.4869976289       184899.8170899077      0.1940000000      14.1802634232      0.4993589004      0.0000000000
0.4947472772       171224.8092320023      0.1960000000      14.1520324646      0.5075692179      0.0000000000
0.5025346824       158666.7504949318      0.1980000000      14.1248779781      0.5158279198      0.0000000000
0.5103597584       147125.2952176042      0.2000000000      14.0987460660      0.5241350549      0.0000000000
0.5182223903       136510.0031557343      0.2020000000      14.0735862568      0.5324906428      0.0000000000
0.5261224341       126739.2686872403      0.2040000000      14.0493511704      0.5408946724      0.0000000000
0.5340597176       117739.3486418007      0.2060000000      14.0259963454      0.5493471040      0.0000000000
0.5420340367       109443.5892006226      0.2080000000      14.0034798904      0.5578478642      0.0000000000
0.5500451605       101791.6081692419      0.2100000000      13.9817625274      0.5663968520      0.0000000000
0.5580928247        94728.7208677394      0.2120000000      13.9608070895      0.5749939308      0.0000000000
0.5661767365        88205.3020282522      0.2140000000      13.9405785602      0.5836389339      0.0000000000
0.5742965727        82176.2973163165      0.2160000000      13.9210439282      0.5923316623      0.0000000000
0.5824519795        76600.7580596321      0.2180000000      13.9021719374      0.6010718842      0.0000000000
0.5906425724        71441.4418798028      0.2200000000      13.8839330144      0.6098593346      0.0000000000
0.5988679375        66664.4264193659      0.2220000000      13.8662991270      0.6186937169      0.0000000000
0.6071276309        62238.8067526921      0.2240000000      13.8492437768      0.6275747016      0.0000000000
0.6154211776        58136.4072222572      0.2260000000      13.8327417394      0.6365019251      0.0000000000
0.6237480748        54331.4866624647      0.2280000000      13.8167690518      0.6454749934      0.0000000000
0.6321077896        50800.5531004688      0.2300000000      13.8013030113      0.6544934787      0.0000000000
0.6404997605        47522.1192692274      0.2320000000      13.7863219388      0.6635569215      0.0000000000
0.6489233976        44476.5302839920      0.2340000000      13.7718052181      0.6726648301      0.0000000000
0.6573780837        41645.7828272367      0.2360000000      13.7577331727      0.6818166824      0.0000000000
0.6658631733        39013.3956629877      0.2380000000      13.7440870728      0.6910119234      0.0000000000
0.6743779949        36564.2475056104      0.2400000000      13.7308490047      0.7002499685      0.0000000000
0.6829218506        34284.4690818910      0.2420000000      13.7180018719      0.7095302025      0.0000000000
0.6914940166        32161.3297197486      0.2440000000      13.7055293024      0.7188519799      0.0000000000
0.7000937456        30183.1238678709      0.2460000000      13.6934156615      0.7282146275      0.0000000000
0.7087202644        28339.1034898817      0.2480000000      13.6816459639      0.7376174414      0.0000000000
0.7173727775        26619.3773775492      0.2500000000      13.6702058488      0.7470596908      0.0000000000
0.7260504670        25014.8391487509      0.2520000000      13.6590815612      0.7565406177      0.0000000000
0.7347524924        23517.1081232845      0.2540000000      13.6482598846      0.7660594365      0.0000000000
0.7434779930        22118.4571152437      0.2560000000      13.6377281752      0.7756153367      0.0000000000
0.7522260880        20811.7641955969      0.2580000000      13.6274742600      0.7852074821      0.0000000000
0.7609958767        19590.4594512475      0.2600000000      13.6174864039      0.7948350115      0.0000000000
0.7697864405        18448.4802772960      0.2620000000      13.6077534042      0.8044970408      0.0000000000
0.7785968435        17380.2258550054      0.2640000000      13.5982644390      0.8141926629      0.0000000000
0.7874261332        16380.5229610745      0.2660000000      13.5890090747      0.8239209486      0.0000000000
0.7962733416        15444.5890436294      0.2680000000      13.5799773612      0.8336809480      0.0000000000
0.8051374857        14568.0023477025      0.2700000000      13.5711595992      0.8434716901      0.0000000000
0.8140175690        13746.6690102847      0.2720000000      13.5625464839      0.8532921853      0.0000000000
0.8229125826        12976.8006064708      0.2740000000      13.5541290977      0.8631414255      0.0000000000
0.8318215056        12254.8886077633      0.2760000000      13.5458987717      0.8730183850      0.0000000000
0.8407433062        11577.6826729223      0.2780000000      13.5378472231      0.8829220213      0.0000000000
0.8496769426        10942.1675299477      0.2800000000      13.5299663723      0.8928512764      0.0000000000
0.8586213649        10345.5485415485      0.2820000000      13.5222485109      0.9028050782      0.0000000000
0.8675755145         9785.2320348238      0.2840000000      13.5146861590      0.9127823400      0.0000000000
0.8765383259         9258.8111918210      0.2860000000      13.5072720805      0.9227819625      0.0000000000
0.8855087280         8764.0506072064      0.2880000000      13.4999993456      0.9328028350      0.0000000000
0.8944856442         8298.8727292212      0.2900000000      13.4928611728      0.9428438353      0.0000000000
0.9034679939         7861.3484377568      0.2920000000      13.4858511118      0.9529038316      0.0000000000
0.9124546934         7449.6832969918      0.2940000000      13.4789628907      0.9629816831      0.0000000000
0.9214446560         7062.2078663399      0.2960000000      13.4721904233      0.9730762404      0.0000000000
0.9304367945         6697.3692052765      0.2980000000      13.4655278667      0.9831863476      0.0000000000
0.9394300204         6353.7220631190      0.3000000000      13.4589695942      0.9933108422      0.0000000000
0.9484232460         6029.9200125396      0.3020000000      13.4525101610      1.0034485565      0.0000000000
0.9574153842         5724.7090148230      0.3040000000      13.4461442487      1.0135983184      0.0000000000
0.9664053504         5436.9205234262      0.3060000000      13.4398668147      1.0237589521      0.0000000000
0.9753920629         5165.4654622842      0.3080000000      13.4336729145      1.0339292799      0.0000000000
0.9843744418         4909.3276322221      0.3100000000      13.4275578064      1.0441081198      0.0000000000
0.9933514138         4667.5592269052      0.3120000000      13.4215169427      1.0542942919      0.0000000000
1.0023219094         4439.2757262594      0.3140000000      13.4155458251      1.0644866145      0.0000000000
1.0112848655         4223.6513186442      0.3160000000      13.4096402590      1.0746839072      0.0000000000
1.0202392252         4019.9150599841      0.3180000000      13.4037960749      1.0848849907      0.0000000000
1.0291839388         3827.3461680297      0.3200000000      13.3980093030      1.0950886882      0.0000000000
1.0381179646         3645.2715322579      0.3220000000      13.3922761368      1.1052938260      0.0000000000
1.0470402690         3473.0618243122      0.3240000000      13.3865928071      1.1154992333      0.0000000000
1.0559498281         3310.1281260497      0.3260000000      13.3809558073      1.1257037454      0.0000000000
1.0648456271         3155.9202484291      0.3280000000      13.3753616608      1.1359062011      0.0000000000
1.0737266618         3009.9225582863      0.3300000000      13.3698070371      1.1461054462      0.0000000000
1.0825919388         2871.6528355384      0.3320000000      13.3642887613      1.1563003325      0.0000000000
1.0914404761         2740.6591898915      0.3340000000      13.3588037540      1.1664897195      0.0000000000
1.1002713030         2616.5189444660      0.3360000000      13.3533490172      1.1766724734      0.0000000000
1.1090834619         2498.8352347533      0.3380000000      13.3479217338      1.1868474701      0.0000000000
1.1178760071         2387.2367016517      0.3400000000      13.3425190996      1.1970135936      0.0000000000
1.1266480068         2281.3749457458      0.3420000000      13.3371385148      1.2071697378      0.0000000000
1.1353985423         2180.9231427087      0.3440000000      13.3317773975      1.2173148066      0.0000000000
1.1441267089         2085.5747039302      0.3460000000      13.3264333297      1.2274477142      0.0000000000
1.1528316165         1995.0420219258      0.3480000000      13.3211039477      1.2375673862      0.0000000000
1.1615123891         1909.0550686611      0.3500000000      13.3157869904      1.2476727595      0.0000000000
1.1701681664         1827.3599555096      0.3520000000      13.3104803090      1.2577627832      0.0000000000
1.1787981024         1749.7187154988      0.3540000000      13.3051817901      1.2678364184      0.0000000000
1.1874013673         1675.9074247489      0.3560000000      13.2998894645      1.2778926393      0.0000000000
1.1959771466         1605.7157125519      0.3580000000      13.2946014035      1.2879304332      0.0000000000
1.2045246422         1538.9456050376      0.3600000000      13.2893157903      1.2979488011      0.0000000000
1.2130430715         1475.4112887155      0.3620000000      13.2840308547      1.3079467572      0.0000000000
1.2215316691         1414.9375745245      0.3640000000      13.2787449509      1.3179233310      0.0000000000
1.2299896852         1357.3598822179      0.3660000000      13.2734564445      1.3278775654      0.0000000000
1.2384163871         1302.5231216243      0.3680000000      13.2681638067      1.3378085188      0.0000000000
1.2468110589         1250.2814114057      0.3700000000      13.2628655928      1.3477152641      0.0000000000
1.2551730013         1200.4971810259      0.3720000000      13.2575603769      1.3575968899      0.0000000000
1.2635015323         1153.0409725453      0.3740000000      13.2522468694      1.3674525002      0.0000000000
1.2717959865         1107.7907300881      0.3760000000      13.2469237737      1.3772812143      0.0000000000
1.2800557159         1064.6313522235      0.3780000000      13.2415899122      1.3870821681      0.0000000000
1.2882800895         1023.4544324515      0.3800000000      13.2362441078      1.3968545129      0.0000000000
1.2964684931          984.1576077914      0.3820000000      13.2308853112      1.4065974161      0.0000000000
1.3046203300          946.6442575137      0.3840000000      13.2255124644      1.4163100619      0.0000000000
1.3127350206          910.8233927152      0.3860000000      13.2201246221      1.4259916509      0.0000000000
1.3208120022          876.6089205631      0.3880000000      13.2147208309      1.4356413999      0.0000000000
1.3288507292          843.9197513568      0.3900000000      13.2093002310      1.4452585423      0.0000000000
1.3368506731          812.6790593444      0.3920000000      13.2038620171      1.4548423287      0.0000000000
1.3448113222          782.8144748291      0.3940000000      13.1984053996      1.4643920258      0.0000000000
1.3527321816          754.2574694070      0.3960000000      13.1929296632      1.4739069176      0.0000000000
1.3606127734          726.9433378354      0.3980000000      13.1874341210      1.4833863045      0.0000000000
1.3684526361          700.8108441479      0.4000000000      13.1819181356      1.4928295039      0.0000000000
