# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1561073359     10350363.0529214684      0.1660000000      16.6668858237      0.1564255282      0.0000000000
0.1635860266      8191692.6921451343      0.1680000000      16.0749180948      0.1640249989      0.0000000000
0.1714568791      6510229.5066396045      0.1700000000      15.5622750687      0.1720330529      0.0000000000
0.1797171886      5195371.6869488470      0.1720000000      15.1171421126      0.1804483650      0.0000000000
0.1883641368      4163220.4020566442      0.1740000000      14.7297476939      0.1892695362      0.0000000000
0.1973946120      3349860.8720967514      0.1760000000      14.3919614937      0.1984949072      0.0000000000
0.2068052023      2706429.3854529965      0.1780000000      14.0969817374      0.2081225477      0.0000000000
0.2165922843      2195448.4174663667      0.1800000000      13.8390987695      0.2181503428      0.0000000000
0.2267519158      1788076.8133086206      0.1820000000      13.6134885925      0.2285758802      0.0000000000
0.2372798611      1462048.5200369330      0.1840000000      13.4160593623      0.2393964717      0.0000000000
0.2481715426      1200115.3006924621      0.1860000000      13.2433206678      0.2506090986      0.0000000000
0.2594220676       988873.3234253273      0.1880000000      13.0922853148      0.2622104357      0.0000000000
0.2710262005       817868.9304501452      0.1900000000      12.9603834477      0.2741968175      0.0000000000
0.2829783578       678921.7797693704      0.1920000000      12.8453949731      0.2865642278      0.0000000000
0.2952726167       565607.9836265931      0.1940000000      12.7453952277      0.2993083048      0.0000000000
0.3079026937       472864.9270198887      0.1960000000      12.6587065458      0.3124243128      0.0000000000
0.3208619789       396689.3020825135      0.1980000000      12.5838640953      0.3259071731      0.0000000000
0.3341436515       333904.7589230310      0.2000000000      12.5195938084      0.3397515794      0.0000000000
0.3477404042       281980.7147054283      0.2020000000      12.4647607259      0.3539517050      0.0000000000
0.3616447530       238895.5955313294      0.2040000000      12.4183742564      0.3685015217      0.0000000000
0.3758488445       203028.0550961460      0.2060000000      12.3795513652      0.3833945921      0.0000000000
0.3903445812       173073.7570662870      0.2080000000      12.3475109492      0.3986241966      0.0000000000
0.4051235732       147979.7202682168      0.2100000000      12.3215553379      0.4141832769      0.0000000000
0.4201772421       126893.2868082464      0.2120000000      12.3010667580      0.4300645415      0.0000000000
0.4354967356       109121.5618824278      0.2140000000      12.2854887535      0.4462603697      0.0000000000
0.4510730237        94099.8758129976      0.2160000000      12.2743250891      0.4627629094      0.0000000000
0.4668968655        81366.5151486751      0.2180000000      12.2671281830      0.4795640374      0.0000000000
0.4829588648        70542.8547186930      0.2200000000      12.2634962081      0.4966554135      0.0000000000
0.4992494770        61317.4690065631      0.2220000000      12.2630669583      0.5140284843      0.0000000000
0.5157590241        53433.4671773146      0.2240000000      12.2655129750      0.5316744950      0.0000000000
0.5324777073        46678.2876584112      0.2260000000      12.2705368623      0.5495844997      0.0000000000
0.5493956686        40875.6345205025      0.2280000000      12.2778712070      0.5677494227      0.0000000000
0.5665029051        35878.7963885447      0.2300000000      12.2872684324      0.5861599645      0.0000000000
0.5837894916        31565.4724304874      0.2320000000      12.2985131094      0.6048068378      0.0000000000
0.6012453516        27833.3127951571      0.2340000000      12.3113995928      0.6236805180      0.0000000000
0.6188604400        24596.5261610509      0.2360000000      12.3257442160      0.6427714381      0.0000000000
0.6366247668        21783.0063018788      0.2380000000      12.3413841423      0.6620700129      0.0000000000
0.6545282586        19331.9666988025      0.2400000000      12.3581617215      0.6815664854      0.0000000000
0.6725609382        17192.0739010565      0.2420000000      12.3759376531      0.7012511217      0.0000000000
0.6907128939        15319.8683886982      0.2440000000      12.3945857636      0.7211141755      0.0000000000
0.7089742672        13678.4611337115      0.2460000000      12.4139891902      0.7411458742      0.0000000000
0.7273352837        12236.4748981663      0.2480000000      12.4340410039      0.7613364516      0.0000000000
0.7457862685        10967.1616447392      0.2500000000      12.4546433614      0.7816761640      0.0000000000
0.7643176599         9847.6686959209      0.2520000000      12.4757067717      0.8021553058      0.0000000000
0.7829200391         8858.4327921738      0.2540000000      12.4971511275      0.8227642412      0.0000000000
0.8015840801         7982.6648405322      0.2560000000      12.5188991509      0.8434933498      0.0000000000
0.8203006578         7205.9345812543      0.2580000000      12.5408849975      0.8643331465      0.0000000000
0.8390607415         6515.8077692792      0.2600000000      12.5630427808      0.8852741637      0.0000000000
0.8578555186         5901.5550376721      0.2620000000      12.5853168523      0.9063070899      0.0000000000
0.8766763254         5353.8950281576      0.2640000000      12.6076540394      0.9274226940      0.0000000000
0.8955146724         4864.7874393186      0.2660000000      12.6300049903      0.9486118541      0.0000000000
0.9143623173         4427.2533144475      0.2680000000      12.6523299952      0.9698656417      0.0000000000
0.9332110931         4035.2205750188      0.2700000000      12.6745817138      0.9911751289      0.0000000000
0.9520531754         3683.4029528017      0.2720000000      12.6967299427      1.0125316926      0.0000000000
0.9708808449         3367.1852680621      0.2740000000      12.7187381094      1.0339267474      0.0000000000
0.9896866475         3082.5331322114      0.2760000000      12.7405779819      1.0553519292      0.0000000000
1.0084632777         2825.9132816287      0.2780000000      12.7622178109      1.0767989644      0.0000000000
1.0272037336         2594.2276604020      0.2800000000      12.7836370365      1.0982598497      0.0000000000
1.0459011855         2384.7538075286      0.2820000000      12.8048129508      1.1197267043      0.0000000000
1.0645489731         2195.0957806081      0.2840000000      12.8257199604      1.1411917674      0.0000000000
1.0831407601         2023.1429412196      0.2860000000      12.8463448808      1.1626475811      0.0000000000
1.1016703695         1867.0318363051      0.2880000000      12.8666700986      1.1840868011      0.0000000000
1.1201318397         1725.1147628895      0.2900000000      12.8866790612      1.2055022656      0.0000000000
1.1385194582         1595.9336372097      0.2920000000      12.9063596928      1.2268870358      0.0000000000
1.1568277102         1478.1954099220      0.2940000000      12.9256990114      1.2482343401      0.0000000000
1.1750513339         1370.7523028087      0.2960000000      12.9446889345      1.2695376410      0.0000000000
1.1931852607         1272.5836471188      0.2980000000      12.9633200923      1.2907905682      0.0000000000
1.2112246320         1182.7807757669      0.3000000000      12.9815836337      1.3119869405      0.0000000000
1.2291648000         1100.5334529524      0.3020000000      12.9994714569      1.3331207705      0.0000000000
1.2470013706         1025.1187587229      0.3040000000      13.0169810532      1.3541863170      0.0000000000
1.2647301039          955.8901961311      0.3060000000      13.0341050337      1.3751779717      0.0000000000
1.2823470094          892.2691858748      0.3080000000      13.0508416362      1.3960903741      0.0000000000
1.2998482611          833.7374329249      0.3100000000      13.0671857457      1.4169183127      0.0000000000
1.3172302655          779.8295775482      0.3120000000      13.0831369037      1.4376568108      0.0000000000
1.3344895933          730.1279651945      0.3140000000      13.0986918022      1.4583010455      0.0000000000
1.3516230322          684.2566327220      0.3160000000      13.1138506797      1.4788464155      0.0000000000
1.3686275431          641.8772035395      0.3180000000      13.1286128873      1.4992884904      0.0000000000
1.3855002650          602.6846297489      0.3200000000      13.1429777332      1.5196230190      0.0000000000
1.4022385331          566.4035345235      0.3220000000      13.1569470501      1.5398459548      0.0000000000
1.4188398361          532.7851423332      0.3240000000      13.1705207416      1.5599534060      0.0000000000
1.4353018472          501.6044422630      0.3260000000      13.1837008848      1.5799416760      0.0000000000
1.4516224057          472.6576874763      0.3280000000      13.1964899822      1.5998072437      0.0000000000
1.4677994905          445.7601297026      0.3300000000      13.2088884412      1.6195467332      0.0000000000
1.4838312709          420.7442092309      0.3320000000      13.2209010156      1.6391569789      0.0000000000
1.4997160390          397.4576797848      0.3340000000      13.2325293317      1.6586349441      0.0000000000
1.5154522417          375.7621196813      0.3360000000      13.2437762440      1.6779777634      0.0000000000
1.5310384837          355.5315432341      0.3380000000      13.2546466736      1.6971827480      0.0000000000
1.5464734794          336.6511661454      0.3400000000      13.2651423863      1.7162473292      0.0000000000
1.5617561027          319.0163110236      0.3420000000      13.2752684851      1.7351691207      0.0000000000
1.5768853388          302.5314542338      0.3440000000      13.2850282045      1.7539458624      0.0000000000
1.5918603135          287.1092558157      0.3460000000      13.2944268774      1.7725754578      0.0000000000
1.6066802456          272.6699417807      0.3480000000      13.3034666820      1.7910559165      0.0000000000
1.6213445022          259.1403852492      0.3500000000      13.3121540259      1.8093854257      0.0000000000
1.6358525385          246.4536813505      0.3520000000      13.3204925711      1.8275622761      0.0000000000
1.6502039281          234.5484290688      0.3540000000      13.3284874724      1.8455849011      0.0000000000
1.6643983386          223.3683032926      0.3560000000      13.3361429552      1.8634518491      0.0000000000
1.6784355371          212.8615642203      0.3580000000      13.3434633538      1.8811617903      0.0000000000
1.6923153974          202.9806413592      0.3600000000      13.3504547403      1.8987135285      0.0000000000
1.7060378645          193.6817861479      0.3620000000      13.3571206593      1.9161059568      0.0000000000
1.7196029909          184.9246766297      0.3640000000      13.3634674573      1.9333381057      0.0000000000
1.7330108949          176.6721985956      0.3660000000      13.3694993087      1.9504090905      0.0000000000
1.7462617812          168.8901041119      0.3680000000      13.3752213176      1.9673181393      0.0000000000
1.7593559277          161.5467855629      0.3700000000      13.3806383374      1.9840645772      0.0000000000
1.7722936885          154.6130501146      0.3720000000      13.3857558289      2.0006478312      0.0000000000
1.7850754755          148.0619089413      0.3740000000      13.3905777286      2.0170674073      0.0000000000
1.7977017863          141.8683808162      0.3760000000      13.3951108629      2.0333229285      0.0000000000
1.8101731586          136.0093834528      0.3780000000      13.3993590239      2.0494140751      0.0000000000
1.8224901999          130.4634872287      0.3800000000      13.4033274941      2.0653406256      0.0000000000
1.8346535724          125.2108518257      0.3820000000      13.4070214361      2.0811024371      0.0000000000
1.8466639898          120.2330693574      0.3840000000      13.4104458395      2.0966994423      0.0000000000
1.8585222106          115.5130423143      0.3860000000      13.4136049116      2.1121316415      0.0000000000
1.8702290472          111.0348934080      0.3880000000      13.4165038164      2.1273991144      0.0000000000
1.8817853601          106.7838565543      0.3900000000      13.4191482860      2.1425020144      0.0000000000
1.8931920357          102.7462157444      0.3920000000      13.4215416717      2.1574405391      0.0000000000
1.9044500191           98.9091691461      0.3940000000      13.4236901830      2.1722149749      0.0000000000
1.9155602800           95.2608165857      0.3960000000      13.4255981703      2.1868256515      0.0000000000
1.9265238237           91.7900700878      0.3980000000      13.4272701480      2.2012729575      0.0000000000
