# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1518590507     32163514.5951337852      0.1180000000      21.6540103400      0.1520669574      0.0000000000
0.1559559637     27942864.1884459108      0.1200000000      21.0295259087      0.1562189908      0.0000000000
0.1601263604     24350737.6737520210      0.1220000000      20.4649348957      0.1604480812      0.0000000000
0.1643709727     21278813.8311403319      0.1240000000      19.9522893045      0.1647551020      0.0000000000
0.1686898358     18641145.9735131264      0.1260000000      19.4850703575      0.1691402233      0.0000000000
0.1730826012     16368413.4783751387      0.1280000000      19.0578397700      0.1736032280      0.0000000000
0.1775487126     14404046.2735346612      0.1300000000      18.6660094046      0.1781436889      0.0000000000
0.1820874702     12701453.1684477702      0.1320000000      18.3056724427      0.1827610337      0.0000000000
0.1866980836     11221960.1836798117      0.1340000000      17.9734753477      0.1874545985      0.0000000000
0.1913796989      9933286.7854532171      0.1360000000      17.6665225477      0.1922236542      0.0000000000
0.1961314122      8808328.8221201580      0.1380000000      17.3822974251      0.1970674213      0.0000000000
0.2009522964      7824234.7108664615      0.1400000000      17.1186029663      0.2019850956      0.0000000000
0.2058413900      6961659.0440592570      0.1420000000      16.8735110073      0.2069758377      0.0000000000
0.2107977168      6204165.6533914292      0.1440000000      16.6453224796      0.2120387925      0.0000000000
0.2158202850      5537747.0374982534      0.1460000000      16.4325337186      0.2171730880      0.0000000000
0.2209080952      4950429.8376855403      0.1480000000      16.2338096287      0.2223778438      0.0000000000
0.2260601459      4431954.8954155082      0.1500000000      16.0479604553      0.2276521757      0.0000000000
0.2312754302      3973506.0729209245      0.1520000000      15.8739221612      0.2329951939      0.0000000000
0.2365529276      3567494.4820752037      0.1540000000      15.7107412077      0.2384059925      0.0000000000
0.2418916336      3207369.9995513912      0.1560000000      15.5575598213      0.2438836813      0.0000000000
0.2472905466      2887469.2435909342      0.1580000000      15.4136045351      0.2494273715      0.0000000000
0.2527486628      2602885.9921462568      0.1600000000      15.2781765733      0.2550361710      0.0000000000
0.2582649792      2349360.0656494414      0.1620000000      15.1506416555      0.2607091870      0.0000000000
0.2638385102      2123189.8236134993      0.1640000000      15.0304253954      0.2664455426      0.0000000000
0.2694682710      1921148.8273164546      0.1660000000      14.9170037692      0.2722443609      0.0000000000
0.2751532764      1740424.0365813740      0.1680000000      14.8098997385      0.2781047628      0.0000000000
0.2808925770      1578555.9887395771      0.1700000000      14.7086769892      0.2840259043      0.0000000000
0.2866852071      1433392.7481313867      0.1720000000      14.6129363052      0.2900069232      0.0000000000
0.2925302241      1303048.2372971945      0.1740000000      14.5223116986      0.2960469795      0.0000000000
0.2984266785      1185866.8999357410      0.1760000000      14.4364670646      0.3021452244      0.0000000000
0.3043736518      1080393.3562457168      0.1780000000      14.3550932672      0.3083008394      0.0000000000
0.3103702217       985346.2969736742      0.1800000000      14.2779052186      0.3145130004      0.0000000000
0.3164154840       899596.2389360396      0.1820000000      14.2046398724      0.3207809004      0.0000000000
0.3225085431       822146.7496047976      0.1840000000      14.1350546888      0.3271037394      0.0000000000
0.3286485163       752116.7866881704      0.1860000000      14.0689249675      0.3334807293      0.0000000000
0.3348345299       688726.8591734023      0.1880000000      14.0060426859      0.3399110893      0.0000000000
0.3410657144       631285.8722386274      0.1900000000      13.9462143677      0.3463940416      0.0000000000
0.3473412217       579181.2925517068      0.1920000000      13.8892611103      0.3529288286      0.0000000000
0.3536602076       531868.7607183006      0.1940000000      13.8350162096      0.3595146950      0.0000000000
0.3600218366       488864.1236851479      0.1960000000      13.7833244504      0.3661508929      0.0000000000
0.3664252881       449736.5490268008      0.1980000000      13.7340415142      0.3728366881      0.0000000000
0.3728697443       414101.8043557364      0.2000000000      13.6870324011      0.3795713476      0.0000000000
0.3793544057       381617.2734303269      0.2020000000      13.6421717264      0.3863541556      0.0000000000
0.3858784677       351976.4883162804      0.2040000000      13.5993413614      0.3931843894      0.0000000000
0.3924411494       324905.8351117689      0.2060000000      13.5584318773      0.4000613489      0.0000000000
0.3990416660       300159.9971871606      0.2080000000      13.5193400640      0.4069843284      0.0000000000
0.4056792470       277519.2679580793      0.2100000000      13.4819694684      0.4139526353      0.0000000000
0.4123531263       256786.5078282437      0.2120000000      13.4462297231      0.4209655799      0.0000000000
