# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1530186477     48291100.4334330782      0.0870000000      23.9605245120      0.1532795877      0.0000000000
0.1591238894     40197000.6758392230      0.0890000000      23.0089599399      0.1594726130      0.0000000000
0.1652794164     33735048.5150593892      0.0910000000      22.1962992235      0.1657219115      0.0000000000
0.1714825025     28510920.9783470593      0.0930000000      21.4948124244      0.1720247898      0.0000000000
0.1777312952     24243247.6758079641      0.0950000000      20.8836082468      0.1783794401      0.0000000000
0.1840246602     20725843.7514717132      0.0970000000      20.3466615535      0.1847847854      0.0000000000
0.1903620666     17804357.2818926424      0.0990000000      19.8714818343      0.1912403646      0.0000000000
0.1967434948     15361255.5245508682      0.1010000000      19.4481972788      0.1977462403      0.0000000000
0.2031693569     13305736.1307639480      0.1030000000      19.0689069533      0.2043029198      0.0000000000
0.2096404453     11566784.1867718771      0.1050000000      18.7272167391      0.2109113034      0.0000000000
0.2161578713     10088276.1073060799      0.1070000000      18.4178992215      0.2175726233      0.0000000000
0.2227230292      8825442.5783452336      0.1090000000      18.1366423923      0.2242884084      0.0000000000
0.2293375510      7742276.4550212212      0.1110000000      17.8798592945      0.2310604381      0.0000000000
0.2359930526      6810921.7379140602      0.1130000000      17.6448880209      0.2378802325      0.0000000000
0.2425558858      6022084.9621417159      0.1150000000      17.4332672483      0.2446107655      0.0000000000
0.2490813668      5344474.8626716416      0.1170000000      17.2401901487      0.2513085909      0.0000000000
0.2555991327      4757174.6944633750      0.1190000000      17.0625717231      0.2580040646      0.0000000000
0.2621232521      4245182.2743806392      0.1210000000      16.8983039558      0.2647116326      0.0000000000
0.2686634140      3796769.4967934783      0.1230000000      16.7457372315      0.2714412814      0.0000000000
0.2752273436      3402487.6567961480      0.1250000000      16.6035233803      0.2782010085      0.0000000000
0.2818216853      3054599.8545409967      0.1270000000      16.4705364914      0.2849977248      0.0000000000
0.2884524149      2746700.0228792154      0.1290000000      16.3458233500      0.2918376749      0.0000000000
0.2951250507      2473434.6158300270      0.1310000000      16.2285685612      0.2987266530      0.0000000000
0.3018447786      2230298.8408571342      0.1330000000      16.1180698029      0.3056701304      0.0000000000
0.3086165253      2013476.9111170832      0.1350000000      16.0137177939      0.3126733299      0.0000000000
0.3154450056      1819718.8863463316      0.1370000000      15.9149812435      0.3197412739      0.0000000000
0.3223347515      1646242.9613869963      0.1390000000      15.8213946622      0.3268788143      0.0000000000
0.3292901350      1490656.8947956774      0.1410000000      15.7325487636      0.3340906556      0.0000000000
0.3363153781      1350894.7311952927      0.1430000000      15.6480818262      0.3413813647      0.0000000000
0.3434145640      1225165.2107063644      0.1450000000      15.5676733552      0.3487553821      0.0000000000
0.3505916419      1111909.5147971276      0.1470000000      15.4910383175      0.3562170277      0.0000000000
0.3578504287      1009766.5234989495      0.1490000000      15.4179223979      0.3637705009      0.0000000000
0.3651946135       917543.7862117355      0.1510000000      15.3480980482      0.3714198862      0.0000000000
