      Rhob                Epsilon              Pressure               SoundV
0.4730000000E-14      0.4409040000E-11      0.6303830000E-24      0.2528270000E-09
0.4760000000E-14      0.4431480000E-11      0.6303830000E-23      0.3286900000E-09
0.4910000000E-14      0.4571720000E-11      0.6303830000E-22      0.3811090000E-09
0.6990000000E-14      0.6506980000E-11      0.7552120000E-21      0.1661210000E-08
0.9900000000E-14      0.9199530000E-11      0.8737990000E-20      0.4506330000E-08
0.2720000000E-13      0.2529870000E-10      0.1061040000E-18      0.2185710000E-07
0.1270000000E-12      0.1189210000E-09      0.3632510000E-17      0.1280710000E-06
0.6930000000E-12      0.6450890000E-09      0.1185870000E-15      0.6813760000E-06
0.6295000000E-11      0.5856290000E-08      0.6081640000E-14      0.1980100000E-05
0.1581000000E-10      0.1470800000E-07      0.3100740000E-13      0.4121830000E-05
0.3972000000E-10      0.3694960000E-07      0.1517290000E-12      0.7788630000E-05
0.9976000000E-10      0.9278060000E-07      0.7183870000E-12      0.1422460000E-04
0.2506000000E-09      0.2331300000E-06      0.3286730000E-11      0.2500930000E-04
0.6294000000E-09      0.5856290000E-06      0.1446760000E-10      0.4207890000E-04
0.1581000000E-08      0.1470800000E-05      0.6088500000E-10      0.6739699893E-04
0.3972000000E-08      0.3695520000E-05      0.2441020000E-09      0.8516180000E-04
0.5000000000E-08      0.4651930000E-05      0.3282360000E-09      0.1052360000E-03
0.9976000000E-08      0.9283670000E-05      0.8956430000E-09      0.1422520000E-03
0.1990000000E-07      0.1852250000E-04      0.2392340000E-08      0.1863930000E-03
0.3972000000E-07      0.3696080000E-04      0.6278870000E-08      0.2408930000E-03
0.7924000000E-07      0.7376450000E-04      0.1625270000E-07      0.3085620000E-03
0.1581000000E-06      0.1471920000E-03      0.4166770000E-07      0.3417580000E-03
0.1990000000E-06      0.1853370000E-03      0.5453750000E-07      0.3860480000E-03
0.3155000000E-06      0.2937680000E-03      0.1016730000E-06      0.4315500000E-03
0.5000000000E-06      0.4656420000E-03      0.1890530000E-06      0.4889620000E-03
0.6294000000E-06      0.5861890000E-03      0.2577080000E-06      0.5509610000E-03
0.7924000000E-06      0.7382060000E-03      0.3143180000E-06      0.6137740000E-03
0.9976000000E-06      0.9294890000E-03      0.4281610000E-06      0.6540150000E-03
0.1581000000E-05      0.1470000000E-02      0.7939080000E-06      0.7285460000E-03
0.2506000000E-05      0.2340000000E-02      0.1470480000E-05      0.8500470000E-03
0.3972000000E-05      0.3700000000E-02      0.2722510000E-05      0.8906300000E-03
0.5000000000E-05      0.4660000000E-02      0.3533890000E-05      0.9510480000E-03
0.6294000000E-05      0.5870000000E-02      0.4807140000E-05      0.1100000000E-02
0.7924000000E-05      0.7390000000E-02      0.6541010000E-05      0.1180000000E-02
0.9976000000E-05      0.9310000000E-02      0.8894020000E-05      0.1280000000E-02
0.1256000000E-04      0.1172000000E-01      0.1209590000E-04      0.1300000000E-02
0.1581000000E-04      0.1476000000E-01      0.1562230000E-04      0.1320000000E-02
0.1990000000E-04      0.1858000000E-01      0.2124580000E-04      0.1390000000E-02
0.2506000000E-04      0.2340000000E-01      0.2888530000E-04      0.1470000000E-02
0.3155000000E-04      0.2947000000E-01      0.3713020000E-04      0.1550000000E-02
0.3972000000E-04      0.3712000000E-01      0.5048680000E-04      0.1820000000E-02
0.5000000000E-04      0.4674000000E-01      0.6865560000E-04      0.1960000000E-02
0.6294000000E-04      0.5884000000E-01      0.9330920000E-04      0.2110000000E-02
0.7924000000E-04      0.7416000000E-01      0.1268880000E-03      0.2150000000E-02
0.9976000000E-04      0.9334000000E-01      0.1620900000E-03      0.2190000000E-02
0.1105000000E-03      0.1034400000E+00      0.1805020000E-03      0.2220000000E-02
0.1256000000E-03      0.1175700000E+00      0.2053430000E-03      0.2270000000E-02
0.1581000000E-03      0.1480900000E+00      0.2791790000E-03      0.2300000000E-02
0.1990000000E-03      0.1865100000E+00      0.3630010000E-03      0.2350000000E-02
0.2506000000E-03      0.2349200000E+00      0.4704780000E-03      0.2420000000E-02
0.2572000000E-03      0.2411500000E+00      0.4871430000E-03      0.1640000000E-02
0.2670000000E-03      0.2502100000E+00      0.4925360000E-03      0.6323770000E-03
0.3126000000E-03      0.2932300000E+00      0.5213460000E-03      0.6351150000E-03
0.3951000000E-03      0.3707800000E+00      0.5679160000E-03      0.6395500000E-03
0.4759000000E-03      0.4467600000E+00      0.6136960000E-03      0.6456670000E-03
0.5812000000E-03      0.5456200000E+00      0.6758550000E-03      0.6505920000E-03
