# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1530573088     45846692.1480764449      0.0890000000      23.6905871361      0.1533130092      0.0000000000
0.1600685278     37065086.0429561511      0.0910000000      22.6266159708      0.1604235444      0.0000000000
0.1672383676     30223559.0044428371      0.0930000000      21.7292604998      0.1677019060      0.0000000000
0.1745565513     24828783.4017914645      0.0950000000      20.9645862325      0.1751380460      0.0000000000
0.1820137409     20532324.9744145460      0.0970000000      20.3070961597      0.1827228426      0.0000000000
0.1896013941     17081436.6062935032      0.0990000000      19.7372849623      0.1904479574      0.0000000000
0.1973116650     14288991.7923115622      0.1010000000      19.2399932899      0.1983057370      0.0000000000
0.2051373250     12014226.4985888135      0.1030000000      18.8032732411      0.2062891337      0.0000000000
0.2130716964     10149874.1718353871      0.1050000000      18.4175899004      0.2143916406      0.0000000000
0.2211086089      8613303.6709053759      0.1070000000      18.0752486981      0.2226072483      0.0000000000
0.2292423533      7340264.8511048341      0.1090000000      17.7699768642      0.2309304005      0.0000000000
0.2374676511      6280402.3866374632      0.1110000000      17.4966145035      0.2393559631      0.0000000000
0.2457483146      5396989.9443730647      0.1130000000      17.2517540969      0.2478470740      0.0000000000
0.2539267875      4669301.8490586057      0.1150000000      17.0353508300      0.2562420746      0.0000000000
0.2620749584      4059936.1494804812      0.1170000000      16.8412849092      0.2646145283      0.0000000000
0.2702167129      3545019.5814883523      0.1190000000      16.6659094682      0.2729889050      0.0000000000
0.2783616235      3107087.9060730506      0.1210000000      16.5065804385      0.2813750329      0.0000000000
0.2865149269      2732614.7910072231      0.1230000000      16.3611987262      0.2897783116      0.0000000000
0.2946799585      2410881.1273901975      0.1250000000      16.2280413590      0.2982022019      0.0000000000
0.3028590885      2133273.0180985862      0.1270000000      16.1056682619      0.3066491835      0.0000000000
0.3110541490      1892797.6047546798      0.1290000000      15.9928606583      0.3151211913      0.0000000000
0.3192666652      1683731.3541868245      0.1310000000      15.8885776417      0.3236198520      0.0000000000
0.3274979845      1501357.3638736838      0.1330000000      15.7919231606      0.3321466157      0.0000000000
0.3357493531      1341764.5958246251      0.1350000000      15.7021216669      0.3407028355      0.0000000000
0.3440219632      1201692.5592213592      0.1370000000      15.6184975030      0.3492898148      0.0000000000
0.3523169848      1078409.5097813962      0.1390000000      15.5404594614      0.3579088408      0.0000000000
0.3606355833       969616.4350822996      0.1410000000      15.4674881746      0.3665612021      0.0000000000
0.3689789334       873370.1036387850      0.1430000000      15.3991253656      0.3752482041      0.0000000000
0.3773482235       788021.3969385322      0.1450000000      15.3349648137      0.3839711723      0.0000000000
0.3857446607       712166.1234554695      0.1470000000      15.2746460485      0.3927314587      0.0000000000
0.3941694722       644603.8870495289      0.1490000000      15.2178475300      0.4015304427      0.0000000000
0.4026239068       584305.3054025220      0.1510000000      15.1642819545      0.4103695336      0.0000000000
0.4111092290       530384.8995896844      0.1530000000      15.1136915391      0.4192501634      0.0000000000
0.4196267208       482078.7482554811      0.1550000000      15.0658449155      0.4281737900      0.0000000000
0.4281776773       438725.6734775635      0.1570000000      15.0205334022      0.4371418919      0.0000000000
0.4367634028       399752.2139005158      0.1590000000      14.9775687872      0.4461559648      0.0000000000
0.4453852148       364659.3077980566      0.1610000000      14.9367805368      0.4552175256      0.0000000000
0.4540444117       333011.9712311249      0.1630000000      14.8980143141      0.4643280785      0.0000000000
0.4627423106       304429.7267175096      0.1650000000      14.8611296675      0.4734891551      0.0000000000
0.4714802144       278579.3307913785      0.1670000000      14.8259987730      0.4827022797      0.0000000000
0.4802594150       255168.1376971146      0.1690000000      14.7925051663      0.4919689724      0.0000000000
0.4890811898       233938.5738830349      0.1710000000      14.7605424284      0.5012907464      0.0000000000
0.4979467955       214663.5395180087      0.1730000000      14.7300131940      0.5106691001      0.0000000000
0.5068574642       197142.3198098652      0.1750000000      14.7008280727      0.5201055143      0.0000000000
0.5158144011       181197.2885860787      0.1770000000      14.6729053051      0.5296014486      0.0000000000
0.5248187758       166670.8916144269      0.1790000000      14.6461695067      0.5391583329      0.0000000000
0.5338717232       153423.1031590429      0.1810000000      14.6205513369      0.5487775679      0.0000000000
0.5429743348       141329.3409154506      0.1830000000      14.5959868571      0.5584605158      0.0000000000
0.5521276579       130278.5081366214      0.1850000000      14.5724170300      0.5682084993      0.0000000000
0.5613327057       120171.3694376720      0.1870000000      14.5497872062      0.5780228127      0.0000000000
0.5705903916       110919.2419581370      0.1890000000      14.5280467850      0.5879046503      0.0000000000
0.5799016183       102442.6504643006      0.1910000000      14.5071490083      0.5978552032      0.0000000000
0.5892672127        94670.2763938668      0.1930000000      14.4870501327      0.6078755877      0.0000000000
0.5986879383        87538.0922615764      0.1950000000      14.4677097684      0.6179668597      0.0000000000
0.6081644918        80988.4643604408      0.1970000000      14.4490900983      0.6281300096      0.0000000000
0.6176974980        74969.5212021113      0.1990000000      14.4311559067      0.6383659574      0.0000000000
0.6272875110        69434.4359445621      0.2010000000      14.4138742983      0.6486755534      0.0000000000
0.6369350075        64340.9510237173      0.2030000000      14.3972144844      0.6590595703      0.0000000000
0.6466403874        59650.8458341714      0.2050000000      14.3811476643      0.6695187038      0.0000000000
0.6564039685        55329.5197280093      0.2070000000      14.3656466259      0.6800535663      0.0000000000
0.6662259870        51345.6340201264      0.2090000000      14.3506860164      0.6906646868      0.0000000000
