# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1563067060      9680506.0021579713      0.1680000000      16.4564394218      0.1566039070      0.0000000000
0.1640061715      7616567.8904174231      0.1700000000      15.8696044865      0.1644267211      0.0000000000
0.1721172638      6018866.6237971941      0.1720000000      15.3630431978      0.1726785158      0.0000000000
0.1806385610      4776895.2811631160      0.1740000000      14.9245493426      0.1813593927      0.0000000000
0.1895684236      3807478.9256562465      0.1760000000      14.5440864855      0.1904692858      0.0000000000
0.1989050626      3047712.9505996201      0.1780000000      14.2133524566      0.2000080290      0.0000000000
0.2086464328      2449835.4338204865      0.1800000000      13.9254402602      0.2099752439      0.0000000000
0.2187901148      1977441.9524716176      0.1820000000      13.6745631210      0.2203702159      0.0000000000
0.2293333822      1602688.8291391812      0.1840000000      13.4558531982      0.2311919582      0.0000000000
0.2402731928      1304204.1468477377      0.1860000000      13.2651965606      0.2424392003      0.0000000000
0.2516059994      1065520.2481741321      0.1880000000      13.0990851646      0.2541101878      0.0000000000
0.2633279309       873907.6888597970      0.1900000000      12.9545285249      0.2662028642      0.0000000000
0.2754346936       719488.5820371796      0.1920000000      12.8289600187      0.2787147646      0.0000000000
0.2879215597       594569.7107507124      0.1940000000      12.7201670666      0.2916429981      0.0000000000
0.3007831937       493135.0188418202      0.1960000000      12.6262184145      0.3049840618      0.0000000000
0.3140140887       410468.6422316809      0.1980000000      12.5454593335      0.3187342878      0.0000000000
0.3276081109       342854.7001329902      0.2000000000      12.4764300935      0.3328893647      0.0000000000
0.3415587143       287357.0193626265      0.2020000000      12.4178543411      0.3474445526      0.0000000000
0.3558588871       241646.6745638853      0.2040000000      12.3686071042      0.3623946222      0.0000000000
0.3705013280       203870.8883555657      0.2060000000      12.3277081383      0.3777340330      0.0000000000
0.3854781266       172548.5671184600      0.2080000000      12.2942734051      0.3934565900      0.0000000000
0.4007811485       146493.5671313571      0.2100000000      12.2675332100      0.4095558428      0.0000000000
0.4164016783       124751.0733038438      0.2120000000      12.2467852655      0.4260247021      0.0000000000
0.4323308285       106551.4723249755      0.2140000000      12.2314191215      0.4428558650      0.0000000000
0.4485593026        91271.4288697705      0.2160000000      12.2208833623      0.4600415577      0.0000000000
0.4650774522        78404.6220842852      0.2180000000      12.2146808885      0.4775735898      0.0000000000
0.4818753621        67538.6550478734      0.2200000000      12.2123676576      0.4954434378      0.0000000000
0.4989427934        58336.3996954190      0.2220000000      12.2135395169      0.5136421787      0.0000000000
0.5162693247        50521.6632827764      0.2240000000      12.2178375887      0.5321606341      0.0000000000
0.5338442636        43867.2894363959      0.2260000000      12.2249335802      0.5509892702      0.0000000000
0.5516567135        38186.0082500004      0.2280000000      12.2345298333      0.5701182645      0.0000000000
0.5696956430        33323.0088748163      0.2300000000      12.2463592198      0.5895375734      0.0000000000
0.5879498267        29149.9106534824      0.2320000000      12.2601768196      0.6092368654      0.0000000000
0.6064079447        25559.9855550977      0.2340000000      12.2757607389      0.6292056222      0.0000000000
0.6250585690        22464.2671452816      0.2360000000      12.2929085014      0.6494331214      0.0000000000
0.6438902069        19788.4027145345      0.2380000000      12.3114361137      0.6699084785      0.0000000000
0.6628913095        17470.0875554477      0.2400000000      12.3311750030      0.6906206524      0.0000000000
0.6820503065        15456.9875143891      0.2420000000      12.3519712631      0.7115584808      0.0000000000
0.7013556446        13705.0459191884      0.2440000000      12.3736856385      0.7327107201      0.0000000000
0.7207957691        12177.0593987844      0.2460000000      12.3961886851      0.7540660201      0.0000000000
0.7403592023        10841.5704606706      0.2480000000      12.4193646838      0.7756130117      0.0000000000
0.7600344923         9671.8824132481      0.2500000000      12.4431040025      0.7973402451      0.0000000000
0.7798103313         8645.3296044557      0.2520000000      12.4673114386      0.8192363225      0.0000000000
0.7996754389         7742.5789785391      0.2540000000      12.4918925547      0.8412897656      0.0000000000
0.8196187527         6947.1546035451      0.2560000000      12.5167692522      0.8634892274      0.0000000000
0.8396292749         6244.9417184616      0.2580000000      12.5418629747      0.8858233220      0.0000000000
0.8596962268         5623.8551505612      0.2600000000      12.5671073187      0.9082807959      0.0000000000
0.8798089698         5073.5068053977      0.2620000000      12.5924384755      0.9308504407      0.0000000000
0.8999570417         4584.9537614885      0.2640000000      12.6177968724      0.9535211349      0.0000000000
0.9201302414         4150.4947889263      0.2660000000      12.6431336919      0.9762819404      0.0000000000
0.9403185300         3763.4661627601      0.2680000000      12.6683997197      0.9991219915      0.0000000000
0.9605120734         3418.0972207154      0.2700000000      12.6935480996      1.0220305453      0.0000000000
0.9807013472         3109.3941986994      0.2720000000      12.7185433332      1.0449971027      0.0000000000
1.0008769761         2833.0058605589      0.2740000000      12.7433442396      1.0680112278      0.0000000000
1.0210299362         2585.1572324577      0.2760000000      12.7679230020      1.0910627819      0.0000000000
