# M(M_sol)                Lambda           n_Bc(fm^-3)          R(km)           m_B(M_sol)       m_Bquar/M_B
0.1542547273      6186145.2809991464      0.1759020000      14.1495866923      0.1544750433      0.0000000000
0.1604274807      5236239.6494154576      0.1779020000      13.8607217505      0.1607452719      0.0000000000
0.1667361751      4449212.5835504113      0.1799020000      13.6057029181      0.1671602624      0.0000000000
0.1731759343      3795363.6896063411      0.1819020000      13.3792399867      0.1737154111      0.0000000000
0.1797448061      3249052.3609395516      0.1839020000      13.1778741499      0.1804091255      0.0000000000
0.1864389942      2791177.0188244609      0.1859020000      12.9981281330      0.1872378996      0.0000000000
0.1932564244      2405382.8660489763      0.1879020000      12.8376209034      0.1942000060      0.0000000000
0.2001933338      2079495.6824272673      0.1899020000      12.6938081501      0.2012919576      0.0000000000
0.2072460491      1803562.4504007467      0.1919020000      12.5645297955      0.2085103486      0.0000000000
0.2144132120      1568438.2326247860      0.1939020000      12.4486321319      0.2158541781      0.0000000000
0.2216910979      1367715.0983234551      0.1959020000      12.3444374618      0.2233199727      0.0000000000
0.2290760716      1196058.3761848402      0.1979020000      12.2504989968      0.2309043396      0.0000000000
0.2365659280      1048567.9471920789      0.1999020000      12.1659671602      0.2386053731      0.0000000000
0.2441570639       921663.1402890719      0.2019020000      12.0897028314      0.2464196938      0.0000000000
0.2518472223       811972.4766539405      0.2039020000      12.0210829407      0.2543453263      0.0000000000
0.2596334536       716901.5177644376      0.2059020000      11.9593722691      0.2623795596      0.0000000000
0.2675116283       634562.1635428115      0.2079020000      11.9035751010      0.2705184255      0.0000000000
0.2754800717       562805.1181170143      0.2099020000      11.8534821463      0.2787605359      0.0000000000
0.2835347399       500338.1771955325      0.2119020000      11.8082549538      0.2871019883      0.0000000000
0.2916739032       445620.5456354730      0.2139020000      11.7677728179      0.2955413198      0.0000000000
0.2998936099       397759.0442064751      0.2159020000      11.7313196263      0.3040746998      0.0000000000
0.3081920937       355634.3464489668      0.2179020000      11.6988395214      0.3127006093      0.0000000000
0.3165654979       318623.1347020391      0.2199020000      11.6697130253      0.3214152919      0.0000000000
0.3250110688       286029.9186659675      0.2219020000      11.6436598910      0.3302161526      0.0000000000
0.3335270101       257148.8124517543      0.2239020000      11.6206903083      0.3391016121      0.0000000000
0.3421096167       231612.5729835679      0.2259020000      11.6002946589      0.3480680355      0.0000000000
0.3507561989       208986.3320554616      0.2279020000      11.5822646104      0.3571128611      0.0000000000
0.3594645282       188855.6269239112      0.2299020000      11.5665314124      0.3662340134      0.0000000000
0.3682315113       170950.5048818302      0.2319020000      11.5527943133      0.3754284730      0.0000000000
0.3770545430       154994.2908346342      0.2339020000      11.5408954804      0.3846937337      0.0000000000
0.3859310459       140748.3434964208      0.2359020000      11.5306904271      0.3940273067      0.0000000000
0.3948588669       127977.8303520676      0.2379020000      11.5221554340      0.4034271526      0.0000000000
0.4038354647       116511.7560420411      0.2399020000      11.5151608694      0.4128907999      0.0000000000
0.4128572171       106271.1941191940      0.2419020000      11.5092767881      0.4224145840      0.0000000000
0.4219228266        97043.1580274923      0.2439020000      11.5047191167      0.4319973614      0.0000000000
0.4310298592        88715.5074285678      0.2459020000      11.5013859659      0.4416367400      0.0000000000
0.4401748814        81243.1767813467      0.2479020000      11.4988937619      0.4513292173      0.0000000000
0.4493566235        74477.2627823020      0.2499020000      11.4974584032      0.4610736502      0.0000000000
0.4585724357        68357.8249668831      0.2519020000      11.4969065714      0.4708673706      0.0000000000
0.4678200624        62815.1215764634      0.2539020000      11.4971694922      0.4807081304      0.0000000000
0.4770966549        57812.7189336609      0.2559020000      11.4980065705      0.4905930125      0.0000000000
0.4864013091        53244.5109474754      0.2579020000      11.4997159928      0.5005212388      0.0000000000
0.4957306395        49110.9605563439      0.2599020000      11.5018927058      0.5104892722      0.0000000000
0.5050831762        45345.3146497916      0.2619020000      11.5046622797      0.5204956861      0.0000000000
0.5144568578        41910.5210122688      0.2639020000      11.5079769916      0.5305383869      0.0000000000
0.5238496642        38773.7016086870      0.2659020000      11.5117926172      0.5406153149      0.0000000000
0.5332593406        35913.2038321174      0.2679020000      11.5159896379      0.5507241362      0.0000000000
0.5426839721        33301.2307341547      0.2699020000      11.5205340496      0.5608628830      0.0000000000
0.5521219244        30906.6442013435      0.2719020000      11.5254698061      0.5710298934      0.0000000000
0.5615710861        28714.9484927908      0.2739020000      11.5306892443      0.5812229570      0.0000000000
0.5710299051        26700.9336105231      0.2759020000      11.5362378806      0.5914404819      0.0000000000
0.5804966001        24848.2948943813      0.2779020000      11.5420864167      0.6016806077      0.0000000000
0.5899689447        23151.9235688963      0.2799020000      11.5480669936      0.6119409582      0.0000000000
0.5994457409        21587.7585251940      0.2819020000      11.5542994816      0.6222203101      0.0000000000
0.6089250912        20148.2464003351      0.2839020000      11.5606919261      0.6325166374      0.0000000000
0.6184056124        18818.1720597338      0.2859020000      11.5672920842      0.6428284883      0.0000000000
0.6278852703        17595.2323925442      0.2879020000      11.5739474805      0.6531536573      0.0000000000
0.6373629793        16462.8178285068      0.2899020000      11.5807740870      0.6634910122      0.0000000000
0.6468370125        15416.4288603567      0.2919020000      11.5876896810      0.6738386776      0.0000000000
0.6563059075        14448.5560794920      0.2939020000      11.5946798898      0.6841950706      0.0000000000
0.6657684430        13549.7473237711      0.2959020000      11.6017929658      0.6945588769      0.0000000000
0.6752228132        12719.4506614422      0.2979020000      11.6088920831      0.7049280977      0.0000000000
0.6846680702        11946.9007402885      0.2999020000      11.6160879916      0.7153017151      0.0000000000
0.6941024936        11231.9571305446      0.3019020000      11.6232493047      0.7256778090      0.0000000000
0.7035251899        10565.5007596469      0.3039020000      11.6304845131      0.7360554075      0.0000000000
0.7129347095         9945.7437415646      0.3059020000      11.6377244548      0.7464328856      0.0000000000
0.7223298341         9368.9205623577      0.3079020000      11.6449603195      0.7568088773      0.0000000000
0.7317093778         8831.6075563232      0.3099020000      11.6521838732      0.7671820458      0.0000000000
0.7410720116         8332.2844981566      0.3119020000      11.6593326813      0.7775508777      0.0000000000
0.7504169713         7864.8246954519      0.3139020000      11.6665100081      0.7879145135      0.0000000000
0.7597429877         7428.3341015287      0.3159020000      11.6736535886      0.7982714940      0.0000000000
0.7690488349         7021.7806253369      0.3179020000      11.6807046646      0.8086204008      0.0000000000
0.7783338229         6640.2647589381      0.3199020000      11.6877634143      0.8189604403      0.0000000000
0.7875967835         6283.2268165213      0.3219020000      11.6947711971      0.8292902473      0.0000000000
0.7968365892         5949.9587094109      0.3239020000      11.7016724665      0.8396084955      0.0000000000
0.8060524652         5637.5690758626      0.3259020000      11.7085144990      0.8499142695      0.0000000000
0.8152435001         5344.5477877493      0.3279020000      11.7152929961      0.8602064853      0.0000000000
0.8244088101         5069.5085078367      0.3299020000      11.7220039605      0.8704840846      0.0000000000
0.8335475396         4811.1774221915      0.3319020000      11.7286437209      0.8807460358      0.0000000000
0.8426588594         4568.3829407921      0.3339020000      11.7352088328      0.8909913322      0.0000000000
0.8517416799         4341.6152300860      0.3359020000      11.7416024226      0.9012186473      0.0000000000
0.8607958016         4126.6549992525      0.3379020000      11.7480102451      0.9114277179      0.0000000000
0.8698200432         3924.9498128462      0.3399020000      11.7542889416      0.9216170944      0.0000000000
0.8788136857         3735.5403277887      0.3419020000      11.7604377168      0.9317858759      0.0000000000
0.8877761646         3556.9160262571      0.3439020000      11.7665005678      0.9419333435      0.0000000000
0.8967068021         3388.3680108750      0.3459020000      11.7724754032      0.9520586355      0.0000000000
0.9056049422         3229.2371948458      0.3479020000      11.7783602802      0.9621609111      0.0000000000
0.9144698245         3079.4547667016      0.3499020000      11.7841103017      0.9722391966      0.0000000000
0.9233010950         2937.3514161747      0.3519020000      11.7898107063      0.9822930084      0.0000000000
0.9320977894         2803.9439685597      0.3539020000      11.7953320067      0.9923211120      0.0000000000
0.9408597157         2677.2163114097      0.3559020000      11.8008009235      1.0023232128      0.0000000000
0.9495860828         2557.6726292044      0.3579020000      11.8061323283      1.0122982773      0.0000000000
0.9582764878         2444.4152391542      0.3599020000      11.8113673564      1.0222457433      0.0000000000
0.9669304249         2337.0630152121      0.3619020000      11.8165051129      1.0321649178      0.0000000000
0.9755472931         2235.6360295481      0.3639020000      11.8215047345      1.0420549858      0.0000000000
0.9841266309         2139.7490587786      0.3659020000      11.8263668133      1.0519152989      0.0000000000
0.9926682155         2048.3597651661      0.3679020000      11.8311702534      1.0617455016      0.0000000000
1.0011713939         1961.8863659202      0.3699020000      11.8358357719      1.0715447004      0.0000000000
1.0096357582         1880.0163350332      0.3719020000      11.8403641252      1.0813123013      0.0000000000
1.0180610240         1802.1638640750      0.3739020000      11.8447940786      1.0910478607      0.0000000000
1.0264468131         1728.0998874050      0.3759020000      11.8491253092      1.1007508148      0.0000000000
1.0347926615         1657.8819009813      0.3779020000      11.8533203617      1.1104204881      0.0000000000
1.0430982286         1591.2739711789      0.3799020000      11.8573801986      1.1200563558      0.0000000000
1.0513633886         1527.5613841781      0.3819020000      11.8613787520      1.1296581603      0.0000000000
1.0595875294         1467.3148369013      0.3839020000      11.8652065179      1.1392250281      0.0000000000
1.0677706503         1409.6307132139      0.3859020000      11.8689729276      1.1487568539      0.0000000000
1.0759122730         1354.8219314304      0.3879020000      11.8726061324      1.1582529257      0.0000000000
1.0840121320         1302.7184473301      0.3899020000      11.8761072547      1.1677127973      0.0000000000
1.0920700686         1252.9636354046      0.3919020000      11.8795121810      1.1771361553      0.0000000000
1.1000858411         1205.4356204217      0.3939020000      11.8828211556      1.1865225786      0.0000000000
1.1080590411         1160.3813888457      0.3959020000      11.8859660573      1.1958714299      0.0000000000
1.1159896386         1117.2997702792      0.3979020000      11.8890167516      1.2051825527      0.0000000000
1.1238774308         1076.0900086498      0.3999020000      11.8919734964      1.2144555675      0.0000000000
1.1317221417         1036.8184288788      0.4019020000      11.8948034065      1.2236899980      0.0000000000
1.1395236816          999.2226930649      0.4039020000      11.8975406637      1.2328856052      0.0000000000
1.1472818847          963.2205832552      0.4059020000      11.9001856314      1.2420420502      0.0000000000
1.1549964307          929.0163383058      0.4079020000      11.9026740626      1.2511587915      0.0000000000
1.1626673464          896.2312568725      0.4099020000      11.9050722227      1.2602357345      0.0000000000
1.1702944991          864.7967516413      0.4119020000      11.9073805497      1.2692725768      0.0000000000
1.1778776878          834.7739944278      0.4139020000      11.9095680196      1.2782689249      0.0000000000
1.1854168043          806.0874602804      0.4159020000      11.9116359376      1.2872245037      0.0000000000
1.1929118276          778.5502773222      0.4179020000      11.9136166020      1.2961391506      0.0000000000
1.2003625903          752.2209320224      0.4199020000      11.9154798326      1.3050125100      0.0000000000
1.2077690137          727.0360731075      0.4219020000      11.9172269476      1.3138443403      0.0000000000
1.2151311766          702.7297054566      0.4239020000      11.9189196698      1.3226346060      0.0000000000
1.2224487929          679.5674588194      0.4259020000      11.9204679513      1.3313827899      0.0000000000
1.2297219589          657.2932896055      0.4279020000      11.9219332824      1.3400888766      0.0000000000
1.2369505572          635.9599780183      0.4299020000      11.9232867830      1.3487525682      0.0000000000
1.2441346239          615.4312843460      0.4319020000      11.9245590156      1.3573737679      0.0000000000
1.2512739903          595.8432882430      0.4339020000      11.9256925917      1.3659521068      0.0000000000
1.2583688469          576.8965416581      0.4359020000      11.9267758142      1.3744876910      0.0000000000
1.2654189742          558.8078749828      0.4379020000      11.9277230228      1.3829800813      0.0000000000
1.2724245723          541.3001860250      0.4399020000      11.9286211483      1.3914293959      0.0000000000
1.2793854415          524.5761133798      0.4419020000      11.9293858445      1.3998352189      0.0000000000
1.2863017265          508.4506427023      0.4439020000      11.9300748680      1.4081975932      0.0000000000
1.2931733780          492.9679679976      0.4459020000      11.9306611836      1.4165163020      0.0000000000
1.3000004207          478.0974086636      0.4479020000      11.9311460753      1.4247912265      0.0000000000
