# M(M_sol)                Lambda           n_Bc(fm^-3)          R(km)           m_B(M_sol)       m_Bquar/M_B
0.1558449351     42076052.4750380963      0.0840650000      23.1259891932      0.1561130026      0.0000000000
0.1623918185     35151291.8897823170      0.0860650000      22.2613000141      0.1627554735      0.0000000000
0.1688637177     29714169.2297090106      0.0880650000      21.5384523838      0.1693279215      0.0000000000
0.1752695804     25362406.8354032673      0.0900650000      20.9243819521      0.1758391591      0.0000000000
0.1816184233     21824001.6988792643      0.0920650000      20.3955375707      0.1822981196      0.0000000000
0.1879192457     18908575.1719088145      0.0940650000      19.9346866894      0.1887137645      0.0000000000
0.1941809677     16479121.8384147957      0.0960650000      19.5289334138      0.1950950166      0.0000000000
0.2004123866     14434744.1377615631      0.0980650000      19.1684388418      0.2014507120      0.0000000000
0.2066221499     12699649.1303250920      0.1000650000      18.8455690497      0.2077895705      0.0000000000
0.2128187446     11215956.2628849298      0.1020650000      18.5543149272      0.2141201821      0.0000000000
0.2190104815      9938779.1203227509      0.1040650000      18.2898832142      0.2204509886      0.0000000000
0.2252054980      8832870.3781959005      0.1060650000      18.0484078588      0.2267902856      0.0000000000
0.2314117552      7870209.7413748419      0.1080650000      17.8267378616      0.2331462175      0.0000000000
0.2376370379      7028295.3884737603      0.1100650000      17.6222816669      0.2395267768      0.0000000000
0.2438889563      6288877.9794139853      0.1120650000      17.4328901032      0.2459398040      0.0000000000
0.2500999660      5644307.7468932718      0.1140650000      17.2587865677      0.2523159831      0.0000000000
0.2562221303      5084348.3151394455      0.1160650000      17.0993821993      0.2586059339      0.0000000000
0.2623207011      4590764.0891971188      0.1180650000      16.9513705205      0.2648765534      0.0000000000
0.2684185160      4152813.8343226700      0.1200650000      16.8130479045      0.2711512884      0.0000000000
0.2745308461      3762366.8916158136      0.1220650000      16.6831612270      0.2774458652      0.0000000000
0.2806699053      3412930.1577946078      0.1240650000      16.5607157681      0.2837729079      0.0000000000
0.2868462558      3099189.0107021029      0.1260650000      16.4448975324      0.2901433763      0.0000000000
0.2930694244      2816724.0589268799      0.1280650000      16.3350274627      0.2965671969      0.0000000000
0.2993482113      2561819.1728513301      0.1300650000      16.2305335612      0.3030535771      0.0000000000
0.3056908745      2331319.2251644135      0.1320650000      16.1309293676      0.3096111949      0.0000000000
0.3121052362      2122524.4594869018      0.1340650000      16.0357986101      0.3162483063      0.0000000000
0.3185987555      1933109.0394662626      0.1360650000      15.9447835818      0.3229728199      0.0000000000
0.3251785819      1761056.0090805769      0.1380650000      15.8575755329      0.3297923518      0.0000000000
0.3318515843      1604606.8024605976      0.1400650000      15.7739070162      0.3367142549      0.0000000000
0.3386243784      1462218.7302232813      0.1420650000      15.6935454327      0.3437456471      0.0000000000
0.3455033344      1332533.6875816158      0.1440650000      15.6162884131      0.3508934191      0.0000000000
0.3524946014      1214348.8706722914      0.1460650000      15.5419591245      0.3581642596      0.0000000000
0.3596041020      1106594.9475941064      0.1480650000      15.4704025007      0.3655646494      0.0000000000
0.3668375439      1008317.8729049959      0.1500650000      15.4014825173      0.3731008740      0.0000000000
0.3742004158       918662.9001148300      0.1520650000      15.3350794365      0.3807790186      0.0000000000
0.3816979878       836861.7295712867      0.1540650000      15.2710871660      0.3886049690      0.0000000000
0.3893353152       762221.7450568047      0.1560650000      15.2094119264      0.3965844152      0.0000000000
0.3971172264       694116.7003864980      0.1580650000      15.1499699994      0.4047228387      0.0000000000
0.4050483311       631978.9539978389      0.1600650000      15.0926864315      0.4130255211      0.0000000000
0.4131329857       575293.0262904087      0.1620650000      15.0374939099      0.4214975079      0.0000000000
0.4213753307       523589.5569985581      0.1640650000      14.9843313594      0.4301436470      0.0000000000
0.4297792564       476440.7477315711      0.1660650000      14.9331430726      0.4389685523      0.0000000000
0.4383484031       433455.8542936495      0.1680650000      14.8838777077      0.4479766044      0.0000000000
0.4470861581       394277.8847016051      0.1700650000      14.8364878849      0.4571719462      0.0000000000
0.4559956478       358580.0816420926      0.1720650000      14.7909291612      0.4665584740      0.0000000000
0.4650797291       326063.2285054674      0.1740650000      14.7471594780      0.4761398285      0.0000000000
0.4743409922       296453.2366052109      0.1760650000      14.7051389889      0.4859193959      0.0000000000
0.4837817480       269498.8053379560      0.1780650000      14.6648291664      0.4959002949      0.0000000000
0.4934040269       244969.6587485399      0.1800650000      14.6261929041      0.5060853733      0.0000000000
0.5032095692       222654.5584477488      0.1820650000      14.5891937235      0.5164771979      0.0000000000
0.5131998402       202359.9356743947      0.1840650000      14.5537959765      0.5270780682      0.0000000000
0.5233759996       183908.2954617131      0.1860650000      14.5199641106      0.5378899832      0.0000000000
0.5337389216       167137.0457446940      0.1880650000      14.4876632111      0.5489146611      0.0000000000
0.5442891817       151897.2061747850      0.1900650000      14.4568580802      0.5601535240      0.0000000000
0.5550270600       138052.3662850122      0.1920650000      14.4275135795      0.5716076991      0.0000000000
0.5659525418       125477.6940252201      0.1940650000      14.3995944267      0.5832780182      0.0000000000
0.5770653157       114058.9977285505      0.1960650000      14.3730651831      0.5951650133      0.0000000000
0.5883647778       103691.8770111748      0.1980650000      14.3478901473      0.6072689193      0.0000000000
0.5998500306        94280.9545684320      0.2000650000      14.3240333172      0.6195896704      0.0000000000
0.6115198890        85739.1407785043      0.2020650000      14.3014585482      0.6321269050      0.0000000000
0.6233728812        77986.9633233647      0.2040650000      14.2801293660      0.6448799636      0.0000000000
0.6354072536        70951.9484663884      0.2060650000      14.2600090553      0.6578478918      0.0000000000
0.6476209793        64568.0456123781      0.2080650000      14.2410608140      0.6710294479      0.0000000000
0.6600117571        58775.0939471031      0.2100650000      14.2232475811      0.6844230978      0.0000000000
0.6725770241        53518.3358346480      0.2120650000      14.2065322796      0.6980270272      0.0000000000
0.6853139582        48747.9492115908      0.2140650000      14.1908777002      0.7118391413      0.0000000000
0.6982194879        44418.6454076491      0.2160650000      14.1762467149      0.7258570729      0.0000000000
0.7112902998        40489.2552771761      0.2180650000      14.1626021289      0.7400781874      0.0000000000
0.7245228464        36922.4000505620      0.2200650000      14.1499070131      0.7544995889      0.0000000000
0.7379133556        33684.1400274583      0.2220650000      14.1381244718      0.7691181279      0.0000000000
0.7514578426        30743.6770740210      0.2240650000      14.1272179670      0.7839304116      0.0000000000
0.7651521156        28073.0796779167      0.2260650000      14.1171511811      0.7989328070      0.0000000000
0.7789917879        25647.0195627544      0.2280650000      14.1078881215      0.8141214518      0.0000000000
0.7929722891        23442.5420948053      0.2300650000      14.0993931935      0.8294922639      0.0000000000
0.8070888774        21438.8472484488      0.2320650000      14.0916313498      0.8450409524      0.0000000000
0.8213366464        19617.0961284911      0.2340650000      14.0845679282      0.8607630225      0.0000000000
0.8357105388        17960.2232029544      0.2360650000      14.0781687325      0.8766537881      0.0000000000
0.8502053609        16452.7836687846      0.2380650000      14.0724003892      0.8927083851      0.0000000000
0.8648157892        15080.7925230316      0.2400650000      14.0672299940      0.9089217770      0.0000000000
0.8795363843        13831.5903702805      0.2420650000      14.0626252118      0.9252887671      0.0000000000
0.8943616043        12693.7239302046      0.2440650000      14.0585546059      0.9418040121      0.0000000000
0.9092858124        11656.8259742627      0.2460650000      14.0549872825      0.9584620280      0.0000000000
0.9243032933        10711.5161166222      0.2480650000      14.0518931865      0.9752572067      0.0000000000
0.9394082618         9849.3052074769      0.2500650000      14.0492429424      0.9921838234      0.0000000000
0.9545948752         9062.5122172626      0.2520650000      14.0470080703      1.0092360489      0.0000000000
0.9698572436         8344.1850718232      0.2540650000      14.0451607010      1.0264079596      0.0000000000
0.9851894445         7688.0335289704      0.2560650000      14.0436740376      1.0436935526      0.0000000000
1.0005855300         7088.3625961966      0.2580650000      14.0425218774      1.0610867520      0.0000000000
1.0160395381         6540.0179751767      0.2600650000      14.0416789318      1.0785814210      0.0000000000
1.0315455047         6038.3326036289      0.2620650000      14.0411207212      1.0961713734      0.0000000000
1.0470974734         5579.0804957498      0.2640650000      14.0408236117      1.1138503853      0.0000000000
1.0626895056         5158.4337505822      0.2660650000      14.0407648287      1.1316122042      0.0000000000
1.0783156883         4772.9248425641      0.2680650000      14.0409223739      1.1494505582      0.0000000000
1.0939701454         4419.4114093436      0.2700650000      14.0412751267      1.1673591681      0.0000000000
1.1096470451         4095.0453479568      0.2720650000      14.0418027335      1.1853317551      0.0000000000
1.1253406093         3797.2442555169      0.2740650000      14.0424856955      1.2033620519      0.0000000000
1.1410451199         3523.6660874027      0.2760650000      14.0433052479      1.2214438092      0.0000000000
1.1567549296         3272.1859865095      0.2780650000      14.0442435218      1.2395708089      0.0000000000
1.1724644667         3040.8755756359      0.2800650000      14.0452833633      1.2577368689      0.0000000000
1.1881682412         2827.9840395472      0.2820650000      14.0464083617      1.2759358509      0.0000000000
1.2038608535         2631.9212486189      0.2840650000      14.0476028920      1.2941616706      0.0000000000
1.2195369996         2451.2424391270      0.2860650000      14.0488520909      1.3124083048      0.0000000000
1.2351914754         2284.6343860991      0.2880650000      14.0501417621      1.3306697962      0.0000000000
1.2508191829         2130.9029310492      0.2900650000      14.0514584356      1.3489402619      0.0000000000
1.2664151353         1988.9617688729      0.2920650000      14.0527893546      1.3672138998      0.0000000000
1.2819744595         1857.8221394646      0.2940650000      14.0541223737      1.3854849929      0.0000000000
1.2974924017         1736.5838112944      0.2960650000      14.0554460300      1.4037479161      0.0000000000
1.3129643304         1624.4266880781      0.2980650000      14.0567495139      1.4219971419      0.0000000000
1.3283857385         1520.6033376859      0.3000650000      14.0580225954      1.4402272433      0.0000000000
1.3437522477         1424.4322494641      0.3020650000      14.0592556654      1.4584329000      0.0000000000
1.3590596089         1335.2917161421      0.3040650000      14.0604396719      1.4766089010      0.0000000000
1.3743037064         1252.6142592836      0.3060650000      14.0615661144      1.4947501504      0.0000000000
1.3894805546         1175.8816920320      0.3080650000      14.0626270376      1.5128516649      0.0000000000
1.4045863061         1104.6205974443      0.3100650000      14.0636150390      1.5309085854      0.0000000000
1.4196172481         1038.3981863234      0.3120650000      14.0645231744      1.5489161734      0.0000000000
1.4345698038          976.8186657457      0.3140650000      14.0653449999      1.5668698151      0.0000000000
1.4494405330          919.5198359856      0.3160650000      14.0660745350      1.5847650234      0.0000000000
1.4642261321          866.1701275861      0.3180650000      14.0667062452      1.6025974393      0.0000000000
1.4789234337          816.4657499505      0.3200650000      14.0672350000      1.6203628331      0.0000000000
1.4935294059          770.1282949251      0.3220650000      14.0676561148      1.6380571059      0.0000000000
1.5080411519          726.9025141633      0.3240650000      14.0679653059      1.6556762898      0.0000000000
1.5224559087          686.5541479516      0.3260650000      14.0681586085      1.6732165487      0.0000000000
1.5367710461          648.8681241175      0.3280650000      14.0682324738      1.6906741786      0.0000000000
1.5509840655          613.6469871297      0.3300650000      14.0681836925      1.7080456076      0.0000000000
1.5650925968          580.7092195700      0.3320650000      14.0680093409      1.7253273945      0.0000000000
1.5790943993          549.8878881784      0.3340650000      14.0677068638      1.7425162308      0.0000000000
1.5929873575          521.0294595103      0.3360650000      14.0672739559      1.7596089373      0.0000000000
1.6067694802          493.9925687300      0.3380650000      14.0667086375      1.7766024656      0.0000000000
1.6204388977          468.6470283456      0.3400650000      14.0660091546      1.7934938949      0.0000000000
1.6339938604          444.8728650232      0.3420650000      14.0651740785      1.8102804331      0.0000000000
1.6474327345          422.5594669518      0.3440650000      14.0642021199      1.8269594122      0.0000000000
1.6607540020          401.6047541125      0.3460650000      14.0630923028      1.8435282907      0.0000000000
1.6739562567          381.9145429521      0.3480650000      14.0618438648      1.8599846493      0.0000000000
1.6870382011          363.4018297260      0.3500650000      14.0604561997      1.8763261895      0.0000000000
1.6999986452          345.9862185420      0.3520650000      14.0589289525      1.8925507325      0.0000000000
1.6996957264          346.3783443817      0.6702038009      14.0589476435      1.8921711330      0.0000054930
1.6909627781          351.9886020225      0.6736021057      14.0369609389      1.8812353139      0.0033115412
1.6795950985          356.2664489551      0.6769833520      13.9961230234      1.8670151394      0.0094868354
1.6682490762          357.9761700464      0.6803477941      13.9452125494      1.8528359369      0.0173045024
1.6573792345          357.3328963418      0.6836956801      13.8874956622      1.8392623826      0.0262774525
1.6472702159          354.4937067071      0.6870272521      13.8250183177      1.8266461187      0.0361784947
1.6379801699          349.7584296831      0.6903427461      13.7591000390      1.8150562136      0.0467475153
1.6296297824          343.3122022520      0.6936423929      13.6908593293      1.8046404177      0.0578741552
1.6221931701          335.4530082527      0.6969264174      13.6210455775      1.7953643209      0.0694281184
1.6156477564          326.4431099336      0.7001950395      13.5502699260      1.7871983699      0.0813217005
1.6101192066          316.3989690576      0.7034484739      13.4793085204      1.7802987904      0.0934385850
1.6053278916          305.7468341137      0.7066869303      13.4081535859      1.7743163700      0.1057195314
1.6014494731          294.5199446003      0.7099106138      13.3375426640      1.7694709708      0.1180633361
1.5982815986          283.0171557025      0.7131197246      13.2674512041      1.7655105086      0.1304811813
1.5958751844          271.3283573020      0.7163144587      13.1983012324      1.7624998271      0.1428778621
1.5942904677          259.5327233436      0.7194950075      13.1305317699      1.7605161608      0.1552663886
1.5931806745          247.9209483233      0.7226615583      13.0636104784      1.7591263326      0.1674281902
1.5926752349          236.4815602363      0.7258142944      12.9980423283      1.7584942412      0.1796031215
